  disasm                           seq_num  
str_uop r6, [sp, #8]                 2589
str_uop lr, [sp, #4]                 2590
subi_uop sp, sp, #16                 2591
cmps r3, #0                          2592
mov r6, r0                           2593
mov r4, r1                           2594
mov r5, r2                           2595
bne                                  2596
ldr r3, [pc, #100]                   2597
mov r2, #0                           2598
ldr r0, [r3, #0]                     2599
ldr r3, [pc, #92]                    2600
str r2, [r3, #0]                     2601
bl                                   2602
ldr r3, [pc, #64]                    2609
str_uop r4, [sp, #12]                2610
str_uop r5, [sp, #8]                 2611
str_uop r6, [sp, #4]                 2612
subi_uop sp, sp, #12                 2613
mov r2, #0                           2614
ldr2_uop r5,r6, [r3, #0]             2615
mov r1, #64                          2616
and r3, r5, r1                       2617
and r4, r6, r2                       2618
orrs r2, r3, r4                      2619
beq                                  2620
vmrs f1, f11                         2621
ldr r2, [pc, #28]                    2622
ldr r3, [pc, #28]                    2623
and r2, r1, r2                       2624
and r3, r0, r3                       2625
orr r2, r2, r3                       2626
vmsr f11, f2                         2627
ldr2_uop r4,r5, [sp, #0]             2656
ldr_uop r6, [sp, #8]                 2657
addi_uop sp, sp, #12                 2658
bx                                   2659
ldr r3, [pc, #84]                    2660
ldr r2, [pc, #84]                    2661
str r6, [r3, #0]                     2662
ldr r3, [pc, #80]                    2663
str r4, [r2, #0]                     2664
str r5, [r3, #0]                     2665
bl                                   2666
ldr r3, [pc, #88]                    2667
str_uop r4, [sp, #12]                2668
str_uop r5, [sp, #8]                 2669
str_uop lr, [sp, #4]                 2670
subi_uop sp, sp, #12                 2671
sub sp, sp, #4                       2672
ldr r5, [r3, #0]                     2673
cmps r5, #0                          2674
beq                                  2675
add sp, sp, #4                       2676
ldr2_uop r4,r5, [sp, #0]             2677
ldr_uop r36, [sp, #8]                2678
addi_uop sp, sp, #12                 2679
uopReg_uop pc, r36                   2680
bl                                   2681
str_uop r4, [sp, #28]                2697
str_uop r5, [sp, #24]                2698
str_uop r6, [sp, #20]                2699
str_uop r7, [sp, #16]                2700
str_uop r8, [sp, #12]                2701
str_uop r10, [sp, #8]                2702
str_uop lr, [sp, #4]                 2703
subi_uop sp, sp, #28                 2704
ldr r4, [pc, #700]                   2705
sub sp, sp, #12                      2706
ldr r3, [r4, #0]                     2707
cmps r3, #0                          2708
beq                                  2709
ldr r0, [pc, #684]                   2710
bl                                   2711
str_uop r4, [sp, #24]                2718
str_uop r5, [sp, #20]                2719
str_uop r6, [sp, #16]                2720
str_uop r7, [sp, #12]                2721
str_uop r8, [sp, #8]                 2722
str_uop lr, [sp, #4]                 2723
subi_uop sp, sp, #24                 2724
mov r5, r0                           2725
bl                                   2726
